Sexe,Âge,Statut_SocioEco,Type_Bac,Mention_Bac,Boursier,Note_Math,Note_Français,Note_Statistiques,Note_Programmation,Note_Anglais,Absences,Engagement_Associatif,Motivation,Stress,Temps_Travail_Perso_hebdo,Diplôme_Obtenu
Homme,19,Faible,Général,Très Bien,Oui,5.6,10.2,9.1,12.6,14.5,4,Occasionnel,10.0,2.8,14.2,Oui
Femme,19,Élevé,Technologique,Très Bien,Non,11.4,9.7,7.4,9.7,13.8,4,Aucun,7.5,5.5,11.1,Non
Homme,20,Élevé,Professionnel,Bien,Non,12.4,8.9,13.1,7.9,12.1,9,Occasionnel,8.4,4.7,14.1,Oui
Homme,18,Moyen,Général,Assez Bien,Non,12.2,11.5,12.9,13.0,12.8,5,Actif,9.2,10.0,5.8,Oui
Homme,19,Moyen,Technologique,Bien,Non,10.5,13.0,7.0,16.2,12.7,6,Occasionnel,5.2,8.1,7.4,Non
Femme,18,Moyen,Général,Bien,Non,11.9,13.8,12.7,13.5,14.0,9,Aucun,9.0,5.6,3.8,Oui
Homme,25,Moyen,Général,Assez Bien,Oui,16.0,12.6,15.1,14.2,12.3,3,Aucun,5.5,5.2,5.3,Oui
Homme,21,Élevé,Technologique,Passable,Non,12.6,10.3,16.2,9.2,12.2,10,Actif,5.4,7.9,4.3,Oui
Homme,19,Moyen,Général,Très Bien,Non,10.4,12.9,19.1,5.4,16.9,7,Aucun,6.0,8.0,2.8,Oui
Femme,21,Moyen,Général,Assez Bien,Non,10.0,12.3,7.8,16.2,14.9,6,Aucun,5.3,1.0,13.5,Oui
Homme,20,Moyen,Général,Passable,Non,11.0,14.3,19.0,18.2,11.5,5,Occasionnel,8.1,7.1,0.0,Oui
Homme,20,Élevé,Général,Passable,Non,16.4,13.9,9.4,16.4,14.1,5,Aucun,7.0,5.6,13.5,Oui
Homme,22,Moyen,Général,Aucune,Oui,11.0,12.1,8.7,9.8,13.2,9,Aucun,5.5,2.2,13.0,Oui
Homme,22,Faible,Général,Très Bien,Non,11.4,9.8,11.5,7.0,13.8,7,Actif,7.8,7.7,10.0,Oui
Femme,19,Moyen,Professionnel,Bien,Oui,10.1,10.4,8.8,7.3,13.3,7,Aucun,5.9,10.0,3.5,Non
