Âge,Sexe,Revenu_Mensuel,Diplôme,Lieu_de_Vie,Sport,Lecture,Culture,Type_Alimentation,Score_Écologie,Orientation_Politique,Religion,Usage_Réseaux_Sociaux,Achats_en_Ligne,Fréquence_Voyages
63,Homme,1856,Bac+2,Grande ville,Rarement,Occasionnel,2-4x/an,Bio,2,Gauche,Croyant non pratiquant,1-3h/j,1x/mois,1x/an
20,Homme,1869,Bac,Grande ville,1-2x/sem,Occasionnel,1x/an,Équilibré,9,Apolitique,Athée,1-3h/j,1x/sem,1x/an
46,Femme,2905,Bac+5,Grande ville,1-2x/sem,Jamais,1x/an,Équilibré,5,Gauche,Croyant non pratiquant,3h+/j,Jamais,Jamais
52,Homme,1924,Bac,Banlieue,Rarement,Occasionnel,2-4x/an,Équilibré,6,Apolitique,Pratiquant,1-3h/j,Jamais,2-3x/an
56,Homme,2264,Bac+5,Banlieue,Jamais,Régulier,1x/an,Industriel,5,Apolitique,Croyant non pratiquant,1-3h/j,Jamais,2-3x/an
35,Femme,3214,Bac+2,Grande ville,1-2x/sem,Occasionnel,Jamais,Bio,4,Gauche,Pratiquant,3h+/j,1x/sem,1x/an
37,Femme,1723,Doctorat,Banlieue,Rarement,Régulier,2-4x/an,Équilibré,3,Apolitique,Agnostique,<1h/j,Jamais,1x/an
60,Homme,1125,Bac,Banlieue,1-2x/sem,Régulier,1x/an,Bio,4,Gauche,Croyant non pratiquant,3h+/j,2x+/sem,2-3x/an
40,Homme,1340,Doctorat,Ville moyenne,1-2x/sem,Occasionnel,1x/an,Bio,3,Apolitique,Agnostique,1-3h/j,1x/mois,1x/an
51,Homme,3142,Bac+2,Banlieue,Jamais,Régulier,2-4x/an,Équilibré,2,Centre,Croyant non pratiquant,1-3h/j,1x/mois,1x/an
50,Femme,2073,Aucun,Campagne,3x+/sem,Occasionnel,2-4x/an,Bio,4,Apolitique,Athée,1-3h/j,1x/sem,4x+/an
67,Femme,1598,Bac,Banlieue,1-2x/sem,Régulier,2-4x/an,Industriel,7,Centre,Athée,3h+/j,1x/mois,1x/an
65,Homme,2778,Bac+2,Ville moyenne,Rarement,Occasionnel,1x/an,Bio,1,Apolitique,Athée,<1h/j,2x+/sem,2-3x/an
27,Homme,2798,Aucun,Banlieue,1-2x/sem,Occasionnel,1x/an,Équilibré,4,Gauche,Croyant non pratiquant,1-3h/j,1x/sem,1x/an
50,Femme,1619,Bac+5,Grande ville,Jamais,Occasionnel,1x/an,Végétarien,4,Gauche,Croyant non pratiquant,1-3h/j,1x/mois,2-3x/an
